Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
A4-3420,Llano,2,2.8 GHz,Socket FM1,32 nm,,65 W,"Dec 20th, 2011"
A6-3420M,Llano,4,1.5 to 2.4 GHz,Socket FS1,32 nm,,35 W,"Dec 20th, 2011"
A6-3430MX,Llano,4,1.7 to 2.4 GHz,Socket FS1,32 nm,,45 W,"Dec 20th, 2011"
A6-3620,Llano,4,2.2 to 2.5 GHz,Socket FM1,32 nm,,65 W,"Dec 20th, 2011"
A6-3670K,Llano,4,2.7 GHz,Socket FM1,32 nm,,100 W,"Dec 20th, 2011"
A8-3520M,Llano,4,1.6 to 2.5 GHz,Socket FS1,32 nm,,35 W,"Dec 20th, 2011"
A8-3550MX,Llano,4,2 to 2.7 GHz,Socket FS1,32 nm,,45 W,"Dec 20th, 2011"
A8-3820,Llano,4,2.5 to 2.8 GHz,Socket FM1,32 nm,,65 W,"Dec 20th, 2011"
A8-3870K,Llano,4,3 GHz,Socket FM1,32 nm,,100 W,"Dec 20th, 2011"
E2-3000M,Llano,2,1.8 to 2.4 GHz,Socket FS1,32 nm,,35 W,"Dec 20th, 2011"
Athlon II X4 651,Llano,4,3 GHz,Socket FM1,32 nm,,100 W,"Nov 14th, 2011"
Athlon II X4 651K,Llano,4,3 GHz,Socket FM1,32 nm,,100 W,"Nov 14th, 2011"
Opteron 6262 HE,Interlagos,16,1.6 to 2.9 GHz,Socket G34,32 nm,16MB,85 W,"Nov 14th, 2011"
Opteron 6272,Interlagos,16,2.1 to 3 GHz,Socket G34,32 nm,16MB,115 W,"Nov 14th, 2011"
Opteron 6274,Interlagos,16,2.2 to 3.1 GHz,Socket G34,32 nm,16MB,115 W,"Nov 14th, 2011"
Opteron 6276,Interlagos,16,2.3 to 3.2 GHz,Socket G34,32 nm,8MB,115 W,"Nov 14th, 2011"
Opteron 6282 SE,Interlagos,16,2.6 to 3.3 GHz,Socket G34,32 nm,8MB,140 W,"Nov 14th, 2011"
FX-4100,Zambezi,4,3.6 to 3.9 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 12th, 2011"
FX-6100,Zambezi,6,3.3 to 3.9 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 12th, 2011"
FX-8100,Zambezi,8,2.8 to 3.7 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 12th, 2011"
FX-8120,Zambezi,8,3.1 to 4 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 12th, 2011"
FX-8150,Zambezi,8,3.6 to 4.2 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 12th, 2011"
A4-3300,Llano,2,2.5 GHz,Socket FM1,32 nm,,65 W,"Sep 7th, 2011"
A4-3400,Llano,2,2.7 GHz,Socket FM1,32 nm,,65 W,"Sep 7th, 2011"
E2-3200,Llano,2,2.4 GHz,Socket FM1,32 nm,,65 W,"Sep 7th, 2011"
C-60,Ontario,2,1000 to 1333 MHz,Socket FT1,40 nm,,9 W,"Aug 22nd, 2011"
E-300,Zacate,2,1300 MHz,Socket FT1,40 nm,,18 W,"Aug 22nd, 2011"
E-450,Zacate,2,1650 MHz,Socket FT1,40 nm,,18 W,"Aug 22nd, 2011"
A6-3500,Llano,3,2.1 to 2.4 GHz,Socket FM1,32 nm,,65 W,"Aug 17th, 2011"
Athlon II X4 631,Llano,4,2.6 GHz,Socket FM1,32 nm,,100 W,"Aug 17th, 2011"
Sempron 130,Sargas,1,2.6 GHz,Socket AM3,45 nm,,45 W,"Aug 1st, 2011"
Athlon II X2 270,Regor,2,3.4 GHz,Socket AM3,45 nm,,65 W,"Jul 1st, 2011"
Phenom II X4 650T,Zosma,4,2.7 to 3.2 GHz,Socket AM3,45 nm,4MB,95 W,"Jul 1st, 2011"
A6-3600,Llano,4,2.1 to 2.4 GHz,Socket FM1,32 nm,,65 W,"Jun 30th, 2011"
A6-3650,Llano,4,2.6 GHz,Socket FM1,32 nm,,100 W,"Jun 30th, 2011"
A8-3800,Llano,4,2.4 to 2.7 GHz,Socket FM1,32 nm,,65 W,"Jun 30th, 2011"
A8-3850,Llano,4,2.9 GHz,Socket FM1,32 nm,,100 W,"Jun 30th, 2011"
A4-3300M,Llano,2,1.9 to 2.5 GHz,Socket FS1,32 nm,,35 W,"Jun 14th, 2011"
A4-3305M,Llano,2,1.9 to 2.5 GHz,Socket FS1,32 nm,,35 W,"Jun 14th, 2011"
A4-3310MX,Llano,2,2.1 to 2.5 GHz,Socket FS1,32 nm,,35 W,"Jun 14th, 2011"
A6-3400M,Llano,4,1.4 to 2.3 GHz,Socket FS1,32 nm,,35 W,"Jun 14th, 2011"
A6-3410MX,Llano,4,1.6 to 2.3 GHz,Socket FS1,32 nm,,45 W,"Jun 14th, 2011"
A8-3500M,Llano,4,1.5 to 2.4 GHz,Socket FS1,32 nm,,35 W,"Jun 14th, 2011"
A8-3510MX,Llano,4,1.8 to 2.5 GHz,Socket FS1,32 nm,,45 W,"Jun 14th, 2011"
A8-3530MX,Llano,4,1.9 to 2.6 GHz,Socket FS1,32 nm,,45 W,"Jun 14th, 2011"
Celeron G460,Sandy Bridge,1,1800 MHz,Socket 1155,32 nm,1.5MB,35 W,"Dec 12th, 2011"
Atom N2600,Cedarview,2 / 4,1600 MHz,BGA 559,32 nm,,4 W,"Dec 1st, 2011"
Atom N2800,Cedarview,2 / 4,1867 MHz,BGA 559,32 nm,,7 W,"Dec 1st, 2011"
Pentium 350,Sandy Bridge,2 / 4,1200 MHz,Socket 1155,32 nm,3MB,15 W,"Nov 21st, 2011"
Core i7-3930K,Sandy Bridge-E,6 / 12,3.2 to 3.8 GHz,Socket 2011,32 nm,12MB,130 W,"Nov 14th, 2011"
Core i7-3960X,Sandy Bridge-E,6 / 12,3.3 to 3.9 GHz,Socket 2011,32 nm,15MB,130 W,"Nov 14th, 2011"
Atom D2500,Cedarview,2 / 4,1867 MHz,BGA 437,32 nm,,10 W,"Nov 1st, 2011"
Atom D2550,Cedarview,2 / 4,1867 MHz,BGA 437,32 nm,,10 W,"Nov 1st, 2011"
Atom D2700,Cedarview,2 / 4,2.133 GHz,BGA 437,32 nm,,10 W,"Nov 1st, 2011"
Core i7-2700K,Sandy Bridge,4 / 8,3.5 to 3.9 GHz,Socket 1155,32 nm,8MB,95 W,"Oct 24th, 2011"
Core i7-2670QM,Sandy Bridge,4 / 8,2.2 to 3.1 GHz,Socket G2 (988B),32 nm,6MB,45 W,"Oct 12th, 2011"
Core i7-2675QM,Sandy Bridge,4 / 8,2.2 to 3.1 GHz,BGA 1224,32 nm,6MB,45 W,"Oct 12th, 2011"
Pentium 967,Sandy Bridge,2,1300 MHz,BGA 1023,32 nm,2MB,17 W,"Oct 2nd, 2011"
Pentium B960,Sandy Bridge,2,2.2 GHz,Socket G2 (988B),32 nm,2MB,35 W,"Oct 2nd, 2011"
Core i3-2350M,Sandy Bridge,2 / 4,2.3 GHz,Socket G2 (988B),32 nm,3MB,35 W,"Oct 1st, 2011"
Core i3-2367M,Sandy Bridge,2 / 4,1400 MHz,BGA 1023,32 nm,3MB,17 W,"Oct 1st, 2011"
Core i5-2430M,Sandy Bridge,2 / 4,2.4 GHz,Socket G2 (988B),32 nm,3MB,35 W,"Oct 1st, 2011"
Core i5-2430M,Sandy Bridge,2 / 4,2.4 GHz,BGA 1023,32 nm,3MB,35 W,"Oct 1st, 2011"
Celeron G440,Sandy Bridge,1,1600 MHz,Socket 1155,32 nm,1MB,35 W,"Sep 4th, 2011"
Celeron G530,Sandy Bridge,2,2.4 GHz,Socket 1155,32 nm,2MB,65 W,"Sep 4th, 2011"
Celeron G530T,Sandy Bridge,2,2000 MHz,Socket 1155,32 nm,2MB,35 W,"Sep 4th, 2011"
Celeron G540,Sandy Bridge,2,2.5 GHz,Socket 1155,32 nm,2MB,65 W,"Sep 4th, 2011"
